rank,name,source,weighted_rms_db,weighted_mae_db,shape_correlation,rms_1_6k_db,rms_6_8k_db,rms_8_10k_db,rms_10_12k_db,coverage_hz,path
264,KZ PR3,Jaytiss,2.9103126420948913,2.320008313090413,0.7301283478352463,2.8864175883752363,1.5976441285448404,4.3741063399254,5.154815429661449,20.0-19955.5,measurements/Jaytiss/data/in-ear/KZ PR3.csv
265,Lime Ears Terra,Jaytiss,2.916048072388925,2.019652905553704,0.4461926501258408,2.366962672199129,5.108239982614097,4.1284530176049055,6.310750918600848,20.0-19955.5,measurements/Jaytiss/data/in-ear/Lime Ears Terra.csv
266,Moritz Paradise (off-off-off),Jaytiss,2.9169503056825445,2.066783713680096,0.48315914700671425,1.9609584205195727,5.792585124629072,5.023610489376583,8.546876484370564,20.0-19955.5,measurements/Jaytiss/data/in-ear/Moritz Paradise (off-off-off).csv
267,Moritz Paradise (on-off-on),Jaytiss,2.9196180320975955,1.956311362866262,0.4550246826896613,1.74270863720184,5.630602603307822,6.795934852484617,8.505237976140558,20.0-19955.5,measurements/Jaytiss/data/in-ear/Moritz Paradise (on-off-on).csv
268,Jomo Audio Nautilus,Jaytiss,2.922835757998339,2.4452828497936605,0.8007762005265159,2.8580252247297473,2.670063267248874,4.153185018875342,3.8819849596052967,20.0-19955.5,measurements/Jaytiss/data/in-ear/Jomo Audio Nautilus.csv
269,Yanyin Carmen,Jaytiss,2.932098263607925,2.0657126344239165,0.5502006560418151,2.421451063418855,1.2848372311601706,7.413536346708254,9.347320639960206,20.0-19955.5,measurements/Jaytiss/data/in-ear/Yanyin Carmen.csv
270,Truthear x Crinacle Zero Blue 2,Jaytiss,2.938476446465529,2.1955338872556625,0.3910861638615959,2.548354379456759,4.81000546836177,3.032804660895079,6.263880238474109,20.0-19955.5,measurements/Jaytiss/data/in-ear/Truthear x Crinacle Zero Blue 2.csv
271,NiceHCK F1 Pro,Jaytiss,2.939137512220173,2.0300363055477417,0.43180994448444443,1.9351825470636723,7.0891145389848145,3.7371745142939474,1.5921777031919784,20.0-19955.5,measurements/Jaytiss/data/in-ear/NiceHCK F1 Pro.csv
272,"Fatfreq Grand Maestro (black module, down)",Jaytiss,2.949466838620481,2.2888270196977514,0.6604907914159028,2.2067153181420536,5.533093402522415,5.924511909619369,3.20392372403388,20.0-19955.5,"measurements/Jaytiss/data/in-ear/Fatfreq Grand Maestro (black module, down).csv"
273,Moritz Paradise (on-off-off),Jaytiss,2.9567524155371276,2.008406581438197,0.458870078694571,1.82255429240652,5.765264688512392,6.49916332332838,8.488901184392827,20.0-19955.5,measurements/Jaytiss/data/in-ear/Moritz Paradise (on-off-off).csv
274,Kinera Celest Plutus Beast,Jaytiss,2.9651304736247686,2.494712199460821,0.8081232167712221,2.731223343093422,3.0456237556208348,2.853483603937723,9.723107733042744,20.0-19955.5,measurements/Jaytiss/data/in-ear/Kinera Celest Plutus Beast.csv
275,Simgot Audio EA1000 (red nozzle),Jaytiss,2.972214273229483,2.378383662606766,0.6633779970663688,2.883755389541742,2.9134099476317723,2.79242403220382,6.978667722856263,20.0-19955.5,measurements/Jaytiss/data/in-ear/Simgot Audio EA1000 (red nozzle).csv
276,Sivga Que,Jaytiss,2.9750171055111823,2.188386499296752,0.6774478761133915,2.9061057509575607,3.351257261964184,3.7281381019964566,1.0886026709473262,20.0-19955.5,measurements/Jaytiss/data/in-ear/Sivga Que.csv
277,Moritz Paradise (on-on-off),Jaytiss,2.984808418502888,2.031279376032186,0.45547532146745245,1.8553776011661252,5.824172709917538,6.530464058914952,8.40340291059989,20.0-19955.5,measurements/Jaytiss/data/in-ear/Moritz Paradise (on-on-off).csv
278,Tin HiFi DUDU,Jaytiss,2.9853582086422294,2.3742753275936983,0.8249694085437409,3.1195678330184964,1.7025072569968016,2.5355571923970595,2.8386980206070005,20.0-19955.5,measurements/Jaytiss/data/in-ear/Tin HiFi DUDU.csv
279,Moritz Paradise (off-on-on),Jaytiss,3.009640755797989,2.0599559253637554,0.4564800861824519,1.8968992021571633,5.905024103604219,6.409543824104024,8.365650030982511,20.0-19955.5,measurements/Jaytiss/data/in-ear/Moritz Paradise (off-on-on).csv
280,Fir Audio Radon 6 (red module),Jaytiss,3.0129419281357985,2.1529156180450624,0.3173826675328385,2.4578713415673867,5.3592807538726435,4.795473391388773,4.055639920175005,20.0-19955.5,measurements/Jaytiss/data/in-ear/Fir Audio Radon 6 (red module).csv
281,Moondrop ILLUSTRIOUS,Jaytiss,3.0210071977597592,2.2635151828985194,0.5666077036808935,2.4723038438182408,3.9149318829411413,5.518490073984791,9.51784372712555,20.0-19955.5,measurements/Jaytiss/data/in-ear/Moondrop ILLUSTRIOUS.csv
282,Simgot Audio EM6L,Jaytiss,3.023686330703041,2.34698611127895,0.6840798176656699,2.905471555298903,3.6079632309441108,4.047687290563258,1.598658487937032,20.0-19955.5,measurements/Jaytiss/data/in-ear/Simgot Audio EM6L.csv
283,DUNU Glacier,Jaytiss,3.032213409839274,2.298787950951283,0.5328664651239267,2.489194072524353,4.965766102773502,4.427840512829409,7.520373186929545,20.0-19955.5,measurements/Jaytiss/data/in-ear/DUNU Glacier.csv
284,CCA Hydro (on-on-off-off),Jaytiss,3.036304532207404,2.4504887721797024,0.6556030766347118,2.8131461402215545,4.297175822684945,3.528291171329456,3.9296029749370827,20.0-19955.5,measurements/Jaytiss/data/in-ear/CCA Hydro (on-on-off-off).csv
285,Rose Technics Star City 5,Jaytiss,3.05797784301333,2.3051386014323882,0.8769805528265086,3.1348240456043763,2.7035167361126247,2.616627267597979,1.2491360208216171,20.0-19955.5,measurements/Jaytiss/data/in-ear/Rose Technics Star City 5.csv
286,BASN Mix-PD,Jaytiss,3.063712744493195,2.5680235010626355,0.8319599049005952,3.0237291323325306,2.81883593403562,3.6038347143122467,4.922034010024203,20.0-19955.5,measurements/Jaytiss/data/in-ear/BASN Mix-PD.csv
287,Nightjar Duality (switch back),Jaytiss,3.0934998191378416,2.4266000850648255,0.7184935098466944,3.0086559541112545,3.7175204907538637,3.4846911137783203,1.8657703354987014,20.0-19955.5,measurements/Jaytiss/data/in-ear/Nightjar Duality (switch back).csv
288,Simgot Audio EA500LM,Jaytiss,3.0968174738546463,2.4498354036216523,0.6483037338321788,2.9394299850243373,3.8892335454517006,3.5113445430003436,4.659359563513086,20.0-19955.5,measurements/Jaytiss/data/in-ear/Simgot Audio EA500LM.csv
289,Fatfreq x Effect Audio Quantum,Jaytiss,3.103108305902949,2.667278149797006,0.6987624269798809,2.8020650192425083,4.672677129444364,4.458230135954798,1.3580923756638275,20.0-19955.5,measurements/Jaytiss/data/in-ear/Fatfreq x Effect Audio Quantum.csv
290,Moritz Paradise (off-off-on),Jaytiss,3.12274953733069,2.179395737839561,0.45924957397725963,2.080408296390162,6.201469797103946,5.950844735232522,8.224075899840823,20.0-19955.5,measurements/Jaytiss/data/in-ear/Moritz Paradise (off-off-on).csv
291,Tin HiFi T2 MKII,Jaytiss,3.181617640041289,2.5789965451206975,0.11500609389141578,3.107835660633059,3.7761675238114196,3.2685464385512395,2.819484021857434,20.0-19955.5,measurements/Jaytiss/data/in-ear/Tin HiFi T2 MKII.csv
292,Truthear Hola,Jaytiss,3.186514753572286,1.6187001192566517,0.6687526966000922,0.9258540256885428,8.028128875192607,8.602176720126124,2.5703537275115975,20.0-19955.5,measurements/Jaytiss/data/in-ear/Truthear Hola.csv
293,Campfire Audio Alien Brain,Jaytiss,3.20207449459336,2.409428608111301,0.514352023690635,2.757581488023715,3.5206557237684466,6.579361556912134,7.722023666853794,20.0-19955.5,measurements/Jaytiss/data/in-ear/Campfire Audio Alien Brain.csv
294,Custom Art Fibae 5,Jaytiss,3.2043702819498607,2.115802572736186,0.12069519952201944,1.943833890590981,8.377712944796821,2.1835873046821823,2.8615686226495582,20.0-19955.5,measurements/Jaytiss/data/in-ear/Custom Art Fibae 5.csv
295,CVJ ShadowBlade (gold nozzle),Jaytiss,3.2253622473463888,2.189667157393877,0.6349816618011828,2.851853617759363,2.1456873749345706,6.954501352495009,8.819928902832492,20.0-19955.5,measurements/Jaytiss/data/in-ear/CVJ ShadowBlade (gold nozzle).csv
296,Kiwi Ears Melody,Jaytiss,3.2265731276990404,2.336534729096309,0.5028911921576763,3.12966414935986,4.196783590838577,2.917689826882154,1.8626317943146171,20.0-19955.5,measurements/Jaytiss/data/in-ear/Kiwi Ears Melody.csv
297,Fatfreq Maestro Mini,Jaytiss,3.2334090587023265,2.3207823540336974,0.5883737906142457,3.26074494488237,2.8586947728287733,3.726160892559872,2.135408161624147,20.0-19955.5,measurements/Jaytiss/data/in-ear/Fatfreq Maestro Mini.csv
298,Kinera Celest Wyvern Qing,Jaytiss,3.2430785796903874,2.5077773907566554,0.718169107328802,2.6730518698283627,1.81000186103483,7.500832271983961,11.6320667966725,20.0-19955.5,measurements/Jaytiss/data/in-ear/Kinera Celest Wyvern Qing.csv
299,Shuoer Dx1,Jaytiss,3.262302460100022,2.004916799947397,0.3713353145540994,2.355604674347024,1.1692312329694088,8.041875942935285,15.365295723041461,20.0-19955.5,measurements/Jaytiss/data/in-ear/Shuoer Dx1.csv
300,Fir Audio Radon 6 (gold module),Jaytiss,3.2740228395656,2.2918606196741194,0.29591457488749806,2.6254532519180978,6.319485531364533,4.298405781332964,4.343310835371503,20.0-19955.5,measurements/Jaytiss/data/in-ear/Fir Audio Radon 6 (gold module).csv
301,Fir Audio Radon 6 (silver module),Jaytiss,3.2815687421140685,2.3260802652435393,0.30412511705083517,2.6660209811295617,6.199604640258291,4.33500339388131,4.328791571314808,20.0-19955.5,measurements/Jaytiss/data/in-ear/Fir Audio Radon 6 (silver module).csv
302,Nightjar Duality,Jaytiss,3.284466063138871,2.6903040182458993,0.7593536909206274,3.115184260080874,4.094832256827496,4.674398245612584,1.0474823748122184,20.0-19955.5,measurements/Jaytiss/data/in-ear/Nightjar Duality.csv
303,Fir Audio Radon 6 (black module),Jaytiss,3.290712294353777,2.3004758341152223,0.2795361470992184,2.623994408442909,6.386058603471754,4.394338045272717,4.336994544419165,20.0-19955.5,measurements/Jaytiss/data/in-ear/Fir Audio Radon 6 (black module).csv
304,EPZ Q5,Jaytiss,3.297894046168726,2.3000236868772452,0.6073423175964164,3.45407760242237,2.2838576538347595,2.357858886525252,1.1282586126167728,20.0-19955.5,measurements/Jaytiss/data/in-ear/EPZ Q5.csv
305,DUNU SA6 MK2,Jaytiss,3.299629126083716,2.7255340522701754,0.7134772402894539,2.47510055273412,5.782335432580238,7.096040757305163,5.097235301645817,20.0-19955.5,measurements/Jaytiss/data/in-ear/DUNU SA6 MK2.csv
306,Oriveti Dynabird,Jaytiss,3.3124177909815185,2.4908185606080044,0.5131249066245146,2.2539335990359564,6.190502391524977,5.235922374777394,11.821849882080185,20.0-19955.5,measurements/Jaytiss/data/in-ear/Oriveti Dynabird.csv
307,TWISTURA Woodnote (instrumental nozzle),Jaytiss,3.3193645856855336,2.5880926933005153,0.7706841399512645,3.119901207143072,1.6247676853998396,5.117107224240969,10.375659066366339,20.0-19955.5,measurements/Jaytiss/data/in-ear/TWISTURA Woodnote (instrumental nozzle).csv
308,TWISTURA Woodnote (vocal nozzle),Jaytiss,3.322769880626482,2.5776028026519824,0.7812250801652546,3.1705630614556344,1.441368413739263,4.912179837422787,9.972014382057662,20.0-19955.5,measurements/Jaytiss/data/in-ear/TWISTURA Woodnote (vocal nozzle).csv
309,ISN AUDIO EBC80,Jaytiss,3.3228346345171875,2.8282534261990504,0.3552481740509532,3.1277348661786837,4.539682175711043,3.6466504041366936,3.8728243899991956,20.0-19955.5,measurements/Jaytiss/data/in-ear/ISN AUDIO EBC80.csv
310,AME Gaia,Jaytiss,3.392861295329738,2.8949096504044056,0.804120590980958,3.301055695266198,2.2804757977999626,6.346456276845638,2.108683198104682,20.0-19955.5,measurements/Jaytiss/data/in-ear/AME Gaia.csv
311,DUNU Titan S2,Jaytiss,3.451962974461039,2.5835538601067554,0.4468496808140301,3.190631158764671,4.569498526670024,3.366661643305265,7.803244227041532,20.0-19955.5,measurements/Jaytiss/data/in-ear/DUNU Titan S2.csv
312,Moondrop Stellaris,Jaytiss,3.459931183351621,2.7883447685575518,0.6805658642707748,3.344865779366871,3.4037589142294786,4.395354259577909,6.483531232877943,20.0-19955.5,measurements/Jaytiss/data/in-ear/Moondrop Stellaris.csv
313,Moritz Dragon,Jaytiss,3.4636426542868697,2.573191786214713,0.5381318506194908,3.2870490599614155,4.947444697835362,3.2811406451401375,1.1824405122046784,20.0-19955.5,measurements/Jaytiss/data/in-ear/Moritz Dragon.csv
314,Kinera Celest Relentless,Jaytiss,3.508517814585566,2.8790221408000485,0.44867052365177484,2.889352389494724,5.549508020793498,6.787547538667091,4.883852180846952,20.0-19955.5,measurements/Jaytiss/data/in-ear/Kinera Celest Relentless.csv
315,NiceHCK DB2,Jaytiss,3.5130066896252607,2.8595033310269744,0.7132030010005114,3.122397159090235,3.599611049078405,5.446555999391779,10.987291180587222,20.0-19955.5,measurements/Jaytiss/data/in-ear/NiceHCK DB2.csv
316,Kiwi Ears Canta,Jaytiss,3.5143151183366768,2.616681849674337,0.671105627111042,3.209801922187637,4.88882340795481,5.551451403485649,0.42571490253931343,20.0-19955.5,measurements/Jaytiss/data/in-ear/Kiwi Ears Canta.csv
317,CCA CRA PRO,Jaytiss,3.515751022768282,2.711282949724705,0.5508534648575666,3.0059107305280093,6.078824986602264,5.056326435892606,2.0503134183927614,20.0-19955.5,measurements/Jaytiss/data/in-ear/CCA CRA PRO.csv
318,Kontinum Ulim,Jaytiss,3.527200943077905,2.711603065735713,0.5962486629411882,3.512674519251415,3.1410747292191976,3.5716936030660293,6.100575997528049,20.0-19955.5,measurements/Jaytiss/data/in-ear/Kontinum Ulim.csv
319,ZiiGaat Arcanis,Jaytiss,3.531494638742514,2.6344116054466986,0.7041548857162486,2.8944822830851122,7.243580016211156,1.3745640382267224,4.252305651760715,20.0-19955.5,measurements/Jaytiss/data/in-ear/ZiiGaat Arcanis.csv
320,Empire Ears Triton,Jaytiss,3.5697956225803664,2.4495554301441977,0.5779818187945838,2.218720569799037,6.155754215151289,8.33596789036622,12.337573878032607,20.0-19955.5,measurements/Jaytiss/data/in-ear/Empire Ears Triton.csv
321,Campfire Audio Astrolith,Jaytiss,3.5711647191481544,2.570184221827663,-0.19664768451545955,2.9796092280098527,5.831264960328126,6.6418514859513085,2.448442880567561,20.0-19955.5,measurements/Jaytiss/data/in-ear/Campfire Audio Astrolith.csv
322,EPZ x Tipsy Star & One,Jaytiss,3.5821518575436437,2.8061979529288985,0.654328493456784,3.255594832409011,1.7491366762501612,6.082630561055685,12.346972543095811,20.0-19955.5,measurements/Jaytiss/data/in-ear/EPZ x Tipsy Star & One.csv
323,Plunge Audio Unity IEM,Jaytiss,3.6005092434468358,2.6646704295145174,0.23345084519953124,3.0829530586330813,5.864702448275563,2.8549989692413957,9.798794852237874,20.0-19955.5,measurements/Jaytiss/data/in-ear/Plunge Audio Unity IEM.csv
