20	-0.897123449336
20.2909066988	-0.909053798859
20.5860447329	-0.921053893769
20.8854756485	-0.933184387014
21.1892618872	-0.945491580954
21.4974667984	-0.958009705985
21.8101546533	-0.970764326384
22.1273906578	-0.983775312125
22.4492409662	-0.997059077015
22.7757726951	-1.010630346306
23.1070539374	-1.024503021416
23.4431537764	-1.038690269330
23.7841423001	-1.053204524413
24.130090616	-1.068056412582
24.4810708661	-1.083253848274
24.8371562415	-1.098801717953
25.1984209979	-1.114702006282
25.5649404712	-1.130954083198
25.936791093	-1.147555715552
26.3140504067	-1.164503680975
26.6967970834	-1.181794551548
27.0851109387	-1.199425228555
27.4790729492	-1.217392808641
27.878765269	-1.235694634368
28.2842712475	-1.254328250849
28.6956754462	-1.273291131242
29.1130636568	-1.292580175147
29.5365229188	-1.312191127201
29.9661415375	-1.332118493796
30.402009103	-1.352355680402
30.8442165082	-1.372894211646
31.2928559682	-1.393723621928
31.7480210394	-1.414831454410
32.209806639	-1.436203239265
32.6783090648	-1.457822901365
33.1536260154	-1.479673182143
33.6358566101	-1.501736096088
34.1251014105	-1.523993881025
34.6214624402	-1.546430028383
35.1250432075	-1.569030122638
35.6359487256	-1.591782216178
36.1542855356	-1.614677642044
36.6801617282	-1.637711841042
37.2136869661	-1.660884625695
37.7549725073	-1.684200336270
38.3041312279	-1.707667896186
38.8612776461	-1.731300472390
39.4265279456	-1.755115491164
40	-1.779134255757
40.5818133975	-1.803381461356
41.1720894657	-1.827884750330
41.7709512971	-1.852674298012
42.3785237744	-1.877782417024
42.9949335968	-1.903243166238
43.6203093066	-1.929091948966
44.2547813156	-1.955364927935
44.8984819324	-1.982097927412
45.5515453903	-2.009325737436
46.2141078749	-2.037081651215
46.8863075528	-2.065397539516
47.5682846001	-2.094303821345
48.260181232	-2.123828843736
48.9621417322	-2.153998613592
49.6743124829	-2.184836719537
50.3968419958	-2.216364766498
51.1298809424	-2.248602843668
51.873582186	-2.281569867366
52.6281008133	-2.315283967012
53.3935941668	-2.349763415052
54.1702218775	-2.385027454781
54.9581458983	-2.421096537837
55.757530538	-2.457992805967
56.5685424949	-2.495739988758
57.3913508924	-2.534363054956
58.2261273137	-2.573887788597
59.0730458376	-2.614340294113
59.9322830751	-2.655746434095
60.804018206	-2.698131203234
61.6884330163	-2.741518042331
