band_hz,median_db,mad_db,min_db,max_db
200-1000,22.776265321212,13.088470327121,-9.308418290979,36.083531334183
200-500,23.306496447119,14.442086955320,-7.110173615546,39.147528083213
500-1000,22.155750630560,12.357993782148,-10.013887473603,34.555755563860
