* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
1060.916032	59.402454
1076.347412	59.509567
1092.003245	59.626370
1107.886798	59.743176
1124.001383	59.875992
1140.350359	60.007163
1156.937137	60.123962
1173.765175	60.251417
1190.837983	60.369801
1208.159120	60.474371
1225.732199	60.586343
1243.560885	60.672666
1261.648894	60.761530
1280.000000	60.835071
1298.618029	60.908645
1317.506863	60.974030
1336.670442	61.032905
1356.112761	61.099044
1375.837875	61.172670
1395.849898	61.246316
1416.153002	61.319853
1436.751422	61.393423
1457.649452	61.480238
1478.851452	61.598615
1500.361842	61.716994
1522.185107	61.835374
1544.325799	61.973795
1566.788535	62.120945
1589.577999	62.298528
1612.698944	62.476114
1636.156190	62.653702
1659.954630	62.831293
1684.099226	63.009900
1708.595013	63.216813
1733.447100	63.424806
1758.660669	63.649909
1784.240977	63.871127
1810.193360	64.056340
1836.523229	64.289951
1863.236074	64.523556
1890.337467	64.733380
1917.833058	64.941365
1945.728583	65.163567
1974.029857	65.397172
2002.742782	65.626067
2031.873347	65.834004
2061.427625	66.042006
2091.411780	66.270802
2121.832065	66.504401
2152.694823	66.726679
2184.006490	66.910834
2215.773596	67.142640
2248.002765	67.320217
2280.700718	67.497786
2313.874274	67.705738
2347.530351	67.852929
2381.675966	68.017546
2416.318240	68.135935
2451.464399	68.254326
2487.121769	68.352496
2523.297789	68.427035
2560.000000	68.493010
2597.236057	68.539932
2635.013726	68.556953
2673.340883	68.574221
2712.225522	68.591741
2751.675750	68.590585
2791.699796	68.574419
2832.306004	68.558019
2873.502844	68.541380
2915.298905	68.503436
2957.702904	68.458554
3000.723683	68.407866
3044.370214	68.348980
3088.651599	68.291024
3133.577071	68.241978
3179.155999	68.214104
3225.397888	68.189532
3272.312380	68.181364
3319.909260	68.200799
3368.198452	68.220517
3417.190027	68.241658
3466.894200	68.266027
3517.321337	68.290751
3568.481954	68.319092
3620.386720	68.348645
3673.046457	68.392563
3726.472148	68.446556
3780.674934	68.512349
3835.666117	68.585970
3891.457165	68.679601
3948.059713	68.777770
4005.485564	68.916388
4063.746693	69.039704
4122.855250	69.156513
4182.823560	69.273325
4243.664130	69.389979
4305.389646	69.462861
4368.012981	69.495548
4431.547192	69.494187
4496.005531	69.461433
4561.401437	69.352225
4627.748549	69.204998
4695.060701	69.027418
4763.351932	68.735473
4832.636481	68.441097
4902.928797	68.146716
4974.243539	67.791553
5046.595577	67.436384
5120.000000	67.141994
5194.472115	66.786846
5270.027452	66.492471
5346.681766	66.213647
5424.451043	65.975280
5503.351500	65.767328
5583.399591	65.589750
5664.612008	65.442524
5747.005687	65.343292
5830.597810	65.274141
5915.405808	65.236136
6001.447367	65.206625
6088.740429	65.214579
6177.303198	65.244062
6267.154142	65.290492
6358.311998	65.357401
6450.795775	65.431036
6544.624761	65.526487
6639.818520	65.644876
6736.396904	65.803918
6834.380053	65.976945
6933.788400	66.210539
7034.642675	66.565696
7136.963909	67.004770
7240.773439	67.607170
7346.092914	68.364663
7452.944296	69.191145
7561.349867	70.013481
7671.332234	70.835831
7782.914330	71.422194
7896.119426	71.684729
8010.971128	71.562066
8127.493386	70.973288
8245.710500	69.981523
8365.647121	68.703201
8487.328260	67.292085
8610.779292	65.759390
8736.025961	64.348230
8863.094385	62.939057
8992.011061	61.700781
9122.802874	60.584069
9255.497097	59.562347
9390.121402	58.618424
9526.703863	57.796044
9665.272962	56.979355
9805.857594	56.212059
9948.487077	55.558731
10093.191154	54.848422
10240.000000	54.198883
10388.944230	53.610115
10540.054903	53.021337
10693.363532	52.493330
10848.902086	52.016520
11006.703001	51.558960
